id,beskrivelse,kode,kodenr_delete,art,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,kodenr,fiscal_year
542,ordrelistevisning,ordrer,63,OLV,"186338,186327,186315,186308,186302,186292,186287,186286,186285,186281,186278,186253,186248,186244,186201,186196,186190,186188,186185,186183,186180,186172,186162,186157,186148,186147,186145,186134,186127,186125,186116,186110,186103,186099,186096,186095,186088,186086,186082,186081,186025,186011,185994,185984,185980,185975,185963,185938,185874,185848,185847,185846,185844,185829,185826,185825,185817,185816,185813,185807,185806,185800,185789,185776,185772,185767,185756,185753,185750,185749,185693,185692,185686,185672,185665,185644,185642,185611,185596,185592,185591,185590,185581,185579,185578,185575,185567,185566,185565,185564,185563,185545,185539,185535,185533,185528,185526,185285,185480",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"





",",,,,,on,,",,,,,63,0
271,Ordrelistevisning,faktura,27,OLV,,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum",",100,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,firmanavn,"


53274





",",,,,,,,,,,",,,,,27,0
326,Ordrelistevisning,ordrer,34,OLV,,../index/menu.php,"ordrenr,betalings_id,kundeordnr,ordredate,fakturanr,fakturadate,felt_1,kontonr,firmanavn,ref,sum_m_moms",",0,0,0,0,100,100,100,150,100,100","right,left,left,left,left,left,left,left,left,left,right","Ordrenr.,Ha_,Internet,Ordredato,Faktura,Faktura,Betaling,konto,Firmanavn,Sælger,Faktura",30,ordrenr desc,"84981









",",,,,,,,,,on,,",,,,,34,0
237,Ordrelistevisning,faktura,25,OLV,,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"


86750





",",,,,,,,,on,,",,,,,25,0
328,Ordrelistevisning,faktura,34,OLV,,../index/menu.php,"ordrenr,kontonr,sum_m_moms,kundeordnr,fakturanr,fakturadate,ordredate,felt_1,firmanavn,ref",",0,0,100,100,100,100,150,100,100","right,left,left,left,right,left,left,left,left,left","Ordrenr.,konto,Fakturasum,Internet,Fakt.nr.,Fakt.dato,Ordredato,Betaling,Firmanavn,Sælger",100,ordrenr desc,"



107349




",",,,,,,,,,on,",,,,,34,0
495,ordrelistevisning,faktura,54,OLV,256333,../index/menu.php,"ordrenr,kundeordnr,ordredate,fakturanr,fakturadate,addr1,kontonr,firmanavn,ref,sum",",100,100,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Internet,Ordredato,Fakt.nr.,Fakt.dato,Adresse,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"
401596







",",,,,,,,,on,,",,,,,54,0
90,ordrelistevisning,ordrer,3,OLV,"227818,227817,227813",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"
d




",",,,,,on,,",,,,,3,0
421,ordrelistevisning,ordrer,43,OLV,255478,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr desc,"161169





",",,,,,on,,",,,,,43,0
93,ordrelistevisning,faktura,3,OLV,189988,../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,kontonr,firmanavn,ref,afd,felt_1,felt_2,felt_3,felt_4,sum_m_moms,kundeordnr",",100,100,100,150,100,100,20,50,50,50,50,100,100","right,left,right,left,left,left,left,right,left,left,left,left,right,left","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Kontonr,Firmanavn,Sælger,Afd,Betalt,Beløb,Betalt,Beløb,Fakturasum,Internet fakt no",100,ordrenr desc,"



40743518








",",,,,,,on,,,,,,,,",,,,,3,0
83,Ordrelistevisning,faktura,8,OLV,"7975,19454,9448,20672,13455,16506,10073,20924,160,13829,9925,10742,21207,16261,14772,17533,20657,17979,20944,4882,7174,7468,6659,7478,19170,5870,8757,7381,17968,12045,19311,4534,18621,8288,18622,12044,19847,9620,11886,21302,443,15591,764,1617,18285,16225,4260,9114,20437,8367,18984,169,237,1738,236,208,1624,191,189,4757,1971,2086,5141,2107,242,262,6405,6406,1162,6395,635,2901,634,174,515,1577,678,22062,19409,19138,3085,8880,20078,12154,14853,10644,8957,9007,16878,5171,5170,5172,19725,11066,2390,20173,477,18794,13626",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,fakturanr desc,"







",",,,,,,,,,",,,,,8,0
