id,beskrivelse,kode,kodenr_delete,art,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,kodenr,fiscal_year
892,ordrelistevisning,ordrer,,OLV,"253917,253912,253911,253888,253883,253874,253852,253804,253802,253797,253784,253780,253778,253774,253754,253696,253694,253672,253669,253656,253629,253578,253549,253545,253543,253537,253535,253508,253498,253493,253446,253441,253383,253363,253360,253359,253339,253337,253333,253326,253323,253321,253319,253278,253276,253254,253250,253244,253231,253206,253199,253177,253176,253173,253172,253166,253157,253144,253143,253123,253106,253094,253052,253047,253045,253044,253039,253034,253018,253015,252996,252993,252986,252975,252972,252970,252904,252888,252844,252829,252826,252825,252824,252823,252800,252797,252747,252740,252732,252723,252718,252714,252703,252681,252666,252660,252656,252655,252651",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,,"





",",,,,,on,,",,,,,82,0
198,Ordrelistevisning,faktura,18,OLV,"247297,247211",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordrenr.,Ordredato,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"




21139133


",",,,,,,,on,,",,,,,18,0
800,ordrelistevisning,ordrer,,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"138315





",",,,,,on,,",,,,,72,0
584,ordrelistevisning,faktura,,OLV,"207850,207848,207845,207843,207844,207842,207841,207840,207839,207836,207833,207832,207831,207826,207828,207824,207823,207822,207820,207819,207816,207815,207811,207810,207808,207807,207806,207805,207804,207803,207802,207800,207801,207799,207794,207789,207788,207784,207783,207782,207781,207780,207779,207778,207777,207776,207775,207774,207771,207770,207769,207768,207767,207765,207764,207763,207761,207759,207758,207757,207753,207752,207751,207750,207749,207748,207747,207746,207745,207744,207743,207742,207740,207739,207738,207737,207736,207735,207734,207733,207732,207729,207728,207727,207726,207725,207724,207723,207722,207720,207714,207715,207713,207711,207709,207707,207706,207705,207704",../index/menu.php,"ordrenr,ordredate,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum","50,100,100,100,100,150,100,100,100","right,left,right,left,left,left,left,left,right","Ordre nr.,Ordredato,Fakt.nr.,Fakt.dato.,Genfakt.,Kontonr,Firmanavn,Sælger,Fakturasum",100,,"







",",,,,,,,on,,",,,,,44,0
921,ordrelistevisning,ordrer,,OLV,"248492,248481,248467,248463,248446,248445,248438,248420,248390,248385,248383,248354,248333,248314,248310,248309,248306,248285,248278,248275,248271,248229,248228,248216,248215,248211,248205,248181,248176,248175,248172,248171,248168,248162,248160,248150,248147,248144,248138,248136,248135,248134,248133,248132,248091,248088,248085,248078,248070,248062,248050,248027,248023,248012,247954,247943,247922,247916,247912,247902,247901,247893,247885,247884,247868,247866,247847,247843,247812,247807,247805,247799,247797,247792,247788,247787,247770,247762,247756,247755,247749,247744,247735,247730,247727,247724,247719,247684,247665,247659,247656,247655,247653,247648,247642,247614,247602,247599,247589",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordre nr..,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,,"





",",,,,,on,,",,,,,86,0
73,ordrelistevisning,ordrer,9,OLV,"208051,252888",../index/menu.php,"ordrenr,,,ordredate,levdate,kontonr,firmanavn,ref,sum",",50,50,100,100,100,150,100,100","right,left,left,left,left,left,left,left,right","Ordrenr.,,,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr,"






Internet
",",,,,,,,on,,",,,,,9,0
202,Ordrelistevisning,ordrer,19,OLV,"62146,62188,62189,62273,62280,62292,62293,62294,62298,62299,62320,62322,62335",../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum","50,100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,S&aelig;lger,Ordresum",100,ordrenr,"
211118:301118




",",,,,,on,,",,,,,19,0
319,Ordrelistevisning,ordrer,31,OLV,,../index/menu.php,"ordrenr,ordredate,levdate,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,150,100,100","right,left,left,left,left,left,right","Ordrenr.,Ordredato,Levdato,Kontonr.,Firmanavn,Sælger,Ordresum",100,ordrenr desc,"33707





",",,,,,,,",,,,,31,0
68,Ordrelistevisning,faktura,1,OLV,"256322,256319,256318,256314,256313,256307,256306,256304,256303,256302,256299,256298,256297,256296,256295,256294,256292,256289,256288,256287,256286,256284,256283,256279,256281,256277,256275,256274,256273,256271,256268,256266,256265,256264,256263,256261,256258,256257,256256,256255,256253,256252,256251,256250,256249,256248,256247,256246,256245",../index/menu.php,"ordrenr,betalings_id,kundeordnr,ordredate,fakturanr,fakturadate,felt_1,kontonr,firmanavn,ref,sum_m_moms",",100,100,100,100,100,100,100,100,100,100","right,left,left,left,left,left,left,left,left,left,left","Ordrenr.,Ha_,Internet,Ordredato,Faktura,Faktura,Betaling,Konto,Firma,Sælger,Faktura",50,ordrenr desc,"









",",,,,,,,,,on,,",,,,,1,0
506,Ordrelistevisning,faktura,55,OLV,252316,../index/menu.php,"ordrenr,ordredate,kundeordnr,fakturanr,fakturadate,nextfakt,kontonr,firmanavn,ref,sum",",100,50,100,100,100,150,100,100,100","right,left,left,right,left,left,left,left,left,right","Ordrenr.,Ordredato,Internet,Fakt.nr.,Fakt.dato,Genfakt.,Kontonr.,Firmanavn,Sælger,Fakturasum",100,ordrenr desc,"


172216





",",,,,,,,,on,,",,,,,55,0
26,debitorlistevisning,debitor,-1,DLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf	kontoansvarlig,5	35	10	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse 2	Postnr	By	Kontakt	Telefon	S&aelig;lger,100,,firmanavn desc,"






",,,,,-1,0
60,Ordrelistevisning,faktura,-1,OLV,"256398,256397,256396,256395,256394,256393,256392,256391,256390,256389,256388,256387,256386,256385,256384,256383,256382,256381,256380,256379,256378,256377,256376,256375,256374,256373,256372,256371,256370,256369,256368,256367,256366,256365,256364,256363,256362,256361,256360,256359,256356,256354,256353,256351,256350,256349,256343,256346,256342,256341,256340,256339,256337,256333,256332,256331,256330,256328,256327,256326,256324,256322,256321,256319,256318,256314,256313,256307,256306,256304,256303,256302,256299,256298,256297,256296,256295,256294,256292,256289,256288,256287,256286,256284,256283,256279,256281,256277,256275,256274,256273,256271,256268,256266,256265,256264,256263,256261,256258",../index/menu.php,"ordrenr,shop_status,addr1,lev_addr1,felt_1,kundeordnr,ordredate,fakturanr,fakturadate,udskriv_til,cvrnr,kontonr,firmanavn,sum_m_moms",",50,100,100,50,50,75,75,75,50,75,150,100,50","left,left,left,left,left,left,left,right,left,left,left,left,left,right","Ordrenr,shop_status,addr1,lev_addr1,Betaling,Internet,Ordredato,Fakt.nr.,Fakt.dato,Udskriv,Cvr,Kontonr.,Firmanavn,Sum",100,ordrenr desc,"












",",on,,,on,,,,,on,,,,,",,,,,-1,0
299,kreditorlistevisning,kreditor,-1,KLV,,,kontonr	firmanavn	addr1	addr2	postnr	bynavn	kontakt	tlf	status,5	35	10	10	10	10	10	10	10,right	left	left	left	left	left	left	left	left,Kontonr	Firmanavn	Adresse	Adresse	Postnr	By	Kontakt	Telefon	Sælger,100,								,kontonr,"







",,,,,-1,0
99,Debitorrapportvisning,,1,DRV,,,,,,openpost,on;;;;;;,,,,,,,,1,0
32,Ordrelistevisning,ordrer,-1,OLV,"11115,11121,61132,151672,165474,196369,208051,213771,216604,218894,223009,223924,224192,225291,225298,225299,225308,225674,225826,225833,225834,225835,225837,225948,226042,226091,226259,226295,226342,226413,226541,226554,226941,227192,227239,227245,227420,227503,227750,227877,227906,228002,228006,228033,228113,228512,228523,228699,228756,228801,228834,229128,229131,229181,229355,229661,229761,229964,230000,230041,230160,230191,230192,230193,230229,230524,230579,230602,230727,230731,230781,230886,230974,231000,231018,231032,231040,231050,231083,231171,231227,231237,231317,231311,231412,231456,231476,231501,231588,231633,231644,231701,231853,231867,231872,231926,231929,232037,232038",../index/menu.php,"ordrenr,ordredate,cvrnr,kontonr,firmanavn,ref,kundeordnr,sum_m_moms,moms,felt_1",",100,100,100,150,100,100,100,100,100","right,left,left,left,left,left,left,right,right,left","Ordrenr.,Ordredato,CVR,Kontonr.,Firmanavn,Sælger,Internet,Ordresum,moms,Betaling",100,ordrenr,"








",",,,,,on,,,,,",,,,,-1,0
839,POS_valg,,,POS,6,18011	18010	18012	18013	18013	18013,1	2	3	6	0	0,4,Betalingskort	Mobilepay	Gavekort	Tilgodebevis,16650	16650	26120	26120,1	1	1	1	0	0,3,,on,on,on,0,,1,8
864,Pos valg,,,POS,0,on,box	192.168.0.101	10.12.15.248	box	localhost	localhost,					,			,,Lotte 1	Lotte 2	Lotte 3	Lotte 4	Jens R 1	Jens R 2	Jens R 3	Jens R 4	Tom 1	Tom 2	Tom 3	Tom 4	Leif 1	Leif 2	Leif 3	Leif 4	Jim 1	Jim 2	Jim 3	Jim 4	Jens 1	Jens 2	Jens 3	Jens 4	Flemming 1	Flemming 2	Flemming 3	Flemming 4	Martin 1	Martin 2	Martin 3	Martin 4	Jesper 1	Jesper 2	Jesper 3	Jesper 4	Rasmus Svendsen 1	Rasmus Svendsen 2	Rasmus Svendsen 3	Rasmus Svendsen 4	John 1	John 2	John 3	John 4	Nikolaj 1	Nikolaj 2	Nikolaj 3	Nikolaj 4	Phillip 1	Phillip 2	Phillip 3	Phillip 4	Claus 1	Claus 2	Claus 3	Claus 4	Andreas B 1	Andreas B 2	Andreas B 3	Andreas B 4	Mads Emil 1	Mads Emil 2	Mads Emil 3	Mads Emil 4	Mads Vibe 1	Mads Vibe 2	Mads Vibe 3	Mads Vibe 4	Michael c 1	Michael c 2	Michael c 3	Michael c 4	Lars 1	Lars 2	Lars 3	Lars 4	Frederik 1	Frederik 2	Frederik 3	Frederik 4	Thomas C 1	Thomas C 2	Thomas C 3	Thomas C 4	Deniz H 1	Deniz H 2	Deniz H 3	Deniz H 4	Amalie H 1	Amalie H 2	Amalie H 3	Amalie H 4	Bord 93	Bord 94	Bord 95	Bord 96	Bord 97	Bord 98	Bord 99	Bord 100,18021	18020	18022	18023	18023	18023,1050	1050	1050	1050	1050	1050,					,,on,					,on,2,8
