Varenummer;Beskrivelse;Salgspris;Kostpris;"Vejl. pris";Enhed;Nettovægt;Bruttovægt;"L x B x H";Stykliste;Varegruppe
300947;"Fiola Bora sæt Ø130 m/ 4 stk.stabelstole hvid";3.999,20;1.571,59;6.795,00;Sæt;0.000;0.000;;"16257(1.000); 4024200000(4.000)";69
300929;"Fiola Firenze sæt Ø130 m/ 4 stk.stabelstole";0,00;1.999,19;9.995,00;Sæt;0.000;0.000;;"16257(1.000); 16263(4.000)";69
300945;"Fiola Net cafesæt Ø70 m/ 2 stk.stabelstole hvid";1.839,20;841,39;3.597,00;Sæt;0.000;0.000;;"16258(1.000); 4032600000(2.000)";69
300948;"Fiola Net sæt Ø130 m/ 4 stk. stabelstole hvid";4.159,20;1.806,74;7.195,00;Sæt;0.000;0.000;;"16257(1.000); 4032600000(4.000)";69
300942;"Firenze Doga sæt 90x160cm 4 stole hvid";4.559,20;2.117,62;7.895,00;Sæt;3.000;0.000;;"16261(1.000); 4025400000(4.000)";69
300941;"Firenze Doga sæt 90x200cm 6 stole hvid";5.599,20;3.006,78;10.593,00;Sæt;0.000;0.000;;"16262(1.000); 4025400000(6.000)";69
300477;"Firola Bistro Cafesæt 70x70 nonwood";1.359,20;853,50;3.498,90;Sæt;0.000;0.000;;"16259(1.000); 44580306(2.000)";69
300849;"Firola Bora Cafesæt 70x70 m/ 2 stk.stabelstole";1.479,20;772,10;3.297,00;Sæt;0.000;0.000;;"16259(1.000); 4024200000(2.000)";69
300850;"Firola Doga Cafesæt 70x70 m/ 2 stk.stabelstole";1.599,20;828,34;3.597,00;Sæt;0.000;0.000;;"16259(1.000); 4025400000(2.000)";69
300484;"Firola Ebba Cafesæt / 2 stole gråhvid";0,00;930,02;4.497,00;Sæt;0.000;0.000;;"16259(1.000); 16450(2.000)";69
300848;"Firola Net Cafesæt 70x70 m/ 2 stk.stabelstole";1.599,20;814,18;3.497,00;Sæt;0.000;0.000;;"16259(1.000); 4032600000(2.000)";69
300823;"Folke børnesæt m/ bænk og 2 stole Classic Teak";1.599,20;690,42;2.897,00;Sæt;0.000;0.000;;"98399506(1.000); 98399606(2.000)";69
300975;"Luca Gine sæt Ø150 m/ 4 stk. Dusty 1/2 rund";7.599,20;3.049,78;12.595,00;Sæt;0.000;0.000;;"98292206(1.000); 16052(4.000)";69
300976;"Luca Gine sæt Ø180 m/ 6 stk. Dusty 1/2 rund";7.999,20;4.276,44;16.393,00;Sæt;0.000;0.000;;"98292306(1.000); 16052(6.000)";69
300962;"Luca Paris sæt Ø150 m/ 4 stk. Paris indst. dusty lux";7.999,20;3.913,94;16.995,00;Sæt;0.000;0.000;;"98292206(1.000); 628973(4.000)";69
300963;"Luca Paris sæt Ø180 m/ 6 stk. Paris indst. dusty";11.199,20;5.572,68;22.993,00;Sæt;3.000;0.000;;"98292306(1.000); 628973(6.000)";69
300900;"Macao Sofasæt Naturrattan";11.199,20;4.672,98;19.996,00;Sæt;0.000;0.000;;"16252(1.000); 16253(2.000); 16254(1.000)";69
300474;"Møen Bistro Cafesæt 70x70 classic teak";1.359,20;825,71;2.898,90;Sæt;0.000;0.000;;"98381706(1.000); 44580306(2.000)";69
300794;"Odin Sofabord i sæt Ø66/86cm";1.359,20;593,47;2.798,00;Sæt;0.000;0.000;;"16453(1.000); 16454(1.000)";69
300922;"Orø Havemøbelsæt m/ 2 bænke mocca";5.999,20;2.810,78;12.497,00;Sæt;0.000;0.000;;"5009300(1.000); 5008800(2.000)";69
300927;"Palina Dublin sæt Ø178 m/ 6 stk. Dublin stole";7.199,20;3.817,60;16.993,00;Sæt;0.000;0.000;;"5310800(1.000); 16256(6.000)";69
300926;"Palina Gine sæt Ø178 m/ 6 stk. Gine 1/2 rund dusty";4.399,20;2.167,60;10.393,00;Sæt;0.000;0.000;;"5310800(1.000); 16052(6.000)";69
300925;"Palina Paris sæt Ø178 m/ 6 stk. Paris stol indst. dusty";7.199,20;3.463,84;16.993,00;Sæt;0.000;0.000;;"5310800(1.000); 628973(6.000)";69
300824;"Pisa Gine Havemøbelsæt sort";1.599,20;436,28;4.098,80;Sæt;0.000;0.000;;"625742(1.000); 16001(4.000)";69
300689;"Porto Mie 70 havemøbelsæt  / 2 stole m/armlæn";2.399,20;1.137,52;4.497,00;Sæt;0.000;0.000;;"98281306(1.000); 98280106(2.000)";69
300690;"Porto Mie 70 havemøbelsæt  / 2 stole u/armlæn";1.999,20;976,80;3.697,00;Sæt;0.000;0.000;;"98281306(1.000); 98280206(2.000)";69
300592;"Sofia Bistro 70x120cm Havemøbelsæt m/4 stole";3.199,20;1.654,81;6.495,00;Sæt;0.000;0.000;;"98282206(1.000); 44580311(4.000)";69
300593;"Sofia Bistro 85x135cm Havemøbelsæt m/4 stole";3.439,20;1.693,53;6.995,00;Sæt;0.000;0.000;;"44580311(4.000); 98286606(1.000)";69
300682;"Solvogn Atlantico Antracit med antracit armlæn";1.919,20;792,73;2.718,00;Sæt;0.000;0.000;;"4045002057(1.000); 4045202000(1.000)";69
300684;"Solvogn Atlantico Latte/agave med latte armlæn";1.919,20;888,18;2.718,00;Sæt;0.000;0.000;;"4045010101(1.000); 4045210000(1.000)";69
300683;"Solvogn Atlantico Latte med latte armlæn";1.919,20;792,73;2.768,00;Sæt;0.000;0.000;;"4045010104(1.000); 4045210000(1.000)";69
300877;"Søndervig Grå Vito Air sæt Ø90 m/2 stk. stole";0,00;1.907,44;6.397,00;Sæt;0.000;0.000;;"2528274(1.000); 3624274(2.000)";69
300876;"Søndervig Grå Vito Classic sæt Ø90 m/2 stk. stole";0,00;1.987,88;6.597,00;Sæt;0.000;0.000;;"2528274(1.000); 3621274(2.000)";69
300878;"Søndervig Grå Vito Lux sæt Ø90 m/2 stk. stole";0,00;2.022,92;6.997,00;Sæt;0.000;0.000;;"2528274(1.000); 3627274(2.000)";69
300413;"Vito Air Cafesæt 70x70 m/ 2 Air stabelstole";3.039,20;1.273,12;4.597,00;Sæt;3.000;0.000;;"2667236(1.000); 3624274(2.000)";69
300365;"Vito Classic 208 m/ 6 Vito Classic stole";8.319,20;4.360,53;14.793,00;Sæt;0.000;0.000;;"2560274(1.000); 3621274(6.000)";69
300532;"William Ebba sæt Ø120cm grå / 4 stabelstole antracit";4.639,20;2.282,04;9.195,00;Sæt;0.000;0.000;;"16361(1.000); 16451(4.000)";69
300533;"William Ebba sæt Ø120cm grå / 4 stabelstole gråhvid";4.639,20;2.282,04;9.195,00;Sæt;0.000;0.000;;"16361(1.000); 16450(4.000)";69
300535;"William Kaja sæt Ø120cm grå / 4 stabelstole lys grå";3.519,20;1.774,12;6.195,00;Sæt;0.000;0.000;;"16361(1.000); 16346(4.000)";69
