id,item_group_id,cost_of_goods_sold
149,2,0.000 DKK
24729,2,0.000 DKK
28056,2,0.000 DKK
28573,2,0.000 DKK
21976,2,0.000 DKK
24144,2,0.000 DKK
4850,2,0.000 DKK
24142,2,0.000 DKK
4890,2,0.000 DKK
25600,2,0.000 DKK
24614,2,0.000 DKK
15119,2,0.000 DKK
25058,2,0.000 DKK
10794,2,0.000 DKK
15118,2,0.000 DKK
25714,2,0.000 DKK
4288,2,0.000 DKK
11408,2,0.000 DKK
18049,2,0.000 DKK
25806,2,0.000 DKK
15138,2,0.000 DKK
4961,2,0.000 DKK
4962,2,0.000 DKK
148,2,0.000 DKK
25405,2,0.000 DKK
24149,2,0.000 DKK
24922,2,0.000 DKK
23333,2,0.000 DKK
15414,2,0.000 DKK
24620,2,0.000 DKK
20890,2,0.000 DKK
21558,2,0.000 DKK
25599,2,0.000 DKK
4388,2,0.000 DKK
26382,2,0.000 DKK
4482,2,0.000 DKK
14616,2,0.000 DKK
25715,2,0.000 DKK
22386,2,0.000 DKK
19469,2,0.000 DKK
24138,2,0.000 DKK
10846,2,0.000 DKK
7120,2,0.000 DKK
18050,2,0.000 DKK
25059,2,0.000 DKK
24146,2,0.000 DKK
17194,2,0.000 DKK
15120,2,0.000 DKK
4414,2,0.000 DKK
1029,2,0.000 DKK
25404,2,0.000 DKK
15420,2,0.000 DKK
19386,2,0.000 DKK
6513,2,0.000 DKK
1087,2,0.000 DKK
21576,2,0.000 DKK
26112,2,0.000 DKK
6563,2,0.000 DKK
14362,2,0.000 DKK
20783,2,0.000 DKK
4569,2,0.000 DKK
22006,2,0.000 DKK
144,2,0.000 DKK
23944,2,0.000 DKK
8973,2,0.000 DKK
15144,2,0.000 DKK
1425,2,0.000 DKK
28059,2,0.000 DKK
23763,2,0.000 DKK
2571,2,0.000 DKK
24645,2,0.000 DKK
21645,2,0.000 DKK
23304,2,0.000 DKK
24205,2,0.000 DKK
4771,2,0.000 DKK
1248,2,0.000 DKK
26044,2,0.000 DKK
7391,2,0.000 DKK
6621,2,0.000 DKK
26113,2,0.000 DKK
5020,2,0.000 DKK
22505,2,0.000 DKK
25257,2,0.000 DKK
25403,2,0.000 DKK
145,2,0.000 DKK
25808,2,0.000 DKK
24863,2,0.000 DKK
23849,2,0.000 DKK
20810,2,0.000 DKK
23885,2,0.000 DKK
19249,2,0.000 DKK
dato17443,1,0.000 DKK
13873,2,0.000 DKK
22404,2,0.000 DKK
1560,2,0.000 DKK
4827,2,0.000 DKK
15122,2,0.000 DKK
4857,2,0.000 DKK
21952,2,0.000 DKK
21771,2,0.000 DKK
6780,2,0.000 DKK
25597,2,0.000 DKK
23846,2,0.000 DKK
5080,2,0.000 DKK
24866,2,0.000 DKK
6670,2,0.000 DKK
4803,2,0.000 DKK
23617,2,0.000 DKK
24402,2,0.000 DKK
2416,2,0.000 DKK
24853,2,0.000 DKK
10949,2,0.000 DKK
21726,2,0.000 DKK
22270,2,0.000 DKK
23315,2,0.000 DKK
22419,2,0.000 DKK
11592,2,0.000 DKK
23290,2,0.000 DKK
2483,2,0.000 DKK
2477,2,0.000 DKK
23122,2,0.000 DKK
22071,2,0.000 DKK
771,2,0.000 DKK
10993,2,0.000 DKK
23654,2,0.000 DKK
12513,2,0.000 DKK
25523,2,0.000 DKK
10830,2,0.000 DKK
22023,2,0.000 DKK
1922,2,0.000 DKK
25716,2,0.000 DKK
23659,2,0.000 DKK
28060,2,0.000 DKK
22472,2,0.000 DKK
2588,2,0.000 DKK
23561,2,0.000 DKK
19316,2,0.000 DKK
22028,2,0.000 DKK
11230,2,0.000 DKK
22219,2,0.000 DKK
25812,2,0.000 DKK
2425,2,0.000 DKK
25601,2,0.000 DKK
23082,2,0.000 DKK
5001,2,0.000 DKK
22873,2,0.000 DKK
7285,2,0.000 DKK
25717,2,0.000 DKK
22500,2,0.000 DKK
22259,2,0.000 DKK
13747,2,0.000 DKK
22534,2,0.000 DKK
25258,2,0.000 DKK
11817,2,0.000 DKK
19322,2,0.000 DKK
23824,2,0.000 DKK
4999,2,0.000 DKK
22558,2,0.000 DKK
1362,2,0.000 DKK
24556,2,0.000 DKK
4950,2,0.000 DKK
14708,2,0.000 DKK
1942,2,0.000 DKK
2775,2,0.000 DKK
5127,2,0.000 DKK
22384,2,0.000 DKK
22502,2,0.000 DKK
1023,2,0.000 DKK
8093,2,0.000 DKK
12961,2,0.000 DKK
8085,2,0.000 DKK
22623,2,0.000 DKK
21703,2,0.000 DKK
12695,2,0.000 DKK
24865,2,0.000 DKK
5142,2,0.000 DKK
8556,2,0.000 DKK
25526,2,0.000 DKK
1946,2,0.000 DKK
26383,2,0.000 DKK
2905,2,0.000 DKK
23410,2,0.000 DKK
25254,2,0.000 DKK
5166,2,0.000 DKK
7659,2,0.000 DKK
11051,2,0.000 DKK
2459,2,0.000 DKK
22860,2,0.000 DKK
11362,2,0.000 DKK
23423,2,0.000 DKK
14190,2,0.000 DKK
14157,2,0.000 DKK
24862,2,0.000 DKK
19339,2,0.000 DKK
12959,2,0.000 DKK
23361,2,0.000 DKK
5159,2,0.000 DKK
25409,2,0.000 DKK
19342,2,0.000 DKK
8184,2,0.000 DKK
5757,2,0.000 DKK
5664,2,0.000 DKK
11455,2,0.000 DKK
5213,2,0.000 DKK
9799,2,0.000 DKK
5974,2,0.000 DKK
22405,2,0.000 DKK
24651,2,0.000 DKK
24650,2,0.000 DKK
3620,2,0.000 DKK
14251,2,0.000 DKK
2400,2,0.000 DKK
3080,2,0.000 DKK
2426,2,0.000 DKK
23444,2,0.000 DKK
12559,2,0.000 DKK
25407,2,0.000 DKK
25261,2,0.000 DKK
23164,2,0.000 DKK
3093,2,0.000 DKK
11461,2,0.000 DKK
11474,2,0.000 DKK
22460,2,0.000 DKK
25004,2,0.000 DKK
7073,2,0.000 DKK
19409,2,0.000 DKK
5217,2,0.000 DKK
4878,2,0.000 DKK
14297,2,0.000 DKK
5733,2,0.000 DKK
25260,2,0.000 DKK
24396,2,0.000 DKK
22054,2,0.000 DKK
10834,2,0.000 DKK
6666,2,0.000 DKK
10173,2,0.000 DKK
4785,2,0.000 DKK
23845,2,0.000 DKK
26115,2,0.000 DKK
3152,2,0.000 DKK
25262,2,0.000 DKK
2428,2,0.000 DKK
25005,2,0.000 DKK
3582,2,0.000 DKK
25062,2,0.000 DKK
5906,2,0.000 DKK
25003,2,0.000 DKK
22751,2,0.000 DKK
5115,2,0.000 DKK
23848,2,0.000 DKK
25011,2,0.000 DKK
28064,2,0.000 DKK
2473,2,0.000 DKK
2525,2,0.000 DKK
3138,2,0.000 DKK
28578,2,0.000 DKK
24648,2,0.000 DKK
22667,2,0.000 DKK
23163,2,0.000 DKK
14310,2,0.000 DKK
4387,2,0.000 DKK
23652,2,0.000 DKK
22770,2,0.000 DKK
4287,2,0.000 DKK
3743,2,0.000 DKK
2851,2,0.000 DKK
24062,2,0.000 DKK
23302,2,0.000 DKK
14536,2,0.000 DKK
23665,2,0.000 DKK
24652,2,0.000 DKK
4859,2,0.000 DKK
2855,2,0.000 DKK
24401,2,0.000 DKK
22957,2,0.000 DKK
24647,2,0.000 DKK
22869,2,0.000 DKK
23202,2,0.000 DKK
24649,2,0.000 DKK
22820,2,0.000 DKK
28579,2,0.000 DKK
23161,2,0.000 DKK
19640,2,0.000 DKK
24064,2,0.000 DKK
24404,2,0.000 DKK
23950,2,0.000 DKK
5233,2,149.000 DKK
2852,2,0.000 DKK
11538,2,0.000 DKK
23121,2,0.000 DKK
4359,2,0.000 DKK
3129,2,0.000 DKK
24006,2,0.000 DKK
18165,2,0.000 DKK
15399,2,0.000 DKK
23300,2,0.000 DKK
5236,2,0.000 DKK
28063,2,0.000 DKK
25411,2,0.000 DKK
14148,2,0.000 DKK
25410,2,0.000 DKK
24008,2,0.000 DKK
7417,2,0.000 DKK
9761,2,0.000 DKK
23185,2,0.000 DKK
14262,2,0.000 DKK
23707,2,0.000 DKK
25064,2,0.000 DKK
24872,2,0.000 DKK
24010,2,0.000 DKK
24653,2,0.000 DKK
2429,2,0.000 DKK
11878,2,0.000 DKK
3581,2,0.000 DKK
18146,2,0.000 DKK
23664,2,0.000 DKK
28062,2,0.000 DKK
24016,2,0.000 DKK
25038,2,0.000 DKK
4732,2,0.000 DKK
23307,2,0.000 DKK
23191,2,0.000 DKK
28580,2,0.000 DKK
3130,2,0.000 DKK
5253,2,0.000 DKK
9767,2,0.000 DKK
14457,2,0.000 DKK
11714,2,0.000 DKK
5279,2,0.000 DKK
5087,2,0.000 DKK
9820,2,0.000 DKK
4662,2,0.000 DKK
23766,2,0.000 DKK
4358,2,0.000 DKK
3638,2,0.000 DKK
2505,2,0.000 DKK
4994,2,0.000 DKK
2430,2,0.000 DKK
14749,2,0.000 DKK
1138,2,0.000 DKK
22172,2,0.000 DKK
24400,2,0.000 DKK
23308,2,0.000 DKK
24873,2,0.000 DKK
14363,2,0.000 DKK
4490,2,0.000 DKK
26384,2,0.000 DKK
23194,2,0.000 DKK
18644,2,0.000 DKK
7811,2,0.000 DKK
14874,2,0.000 DKK
3730,2,0.000 DKK
3219,2,0.000 DKK
24658,2,0.000 DKK
18223,2,0.000 DKK
23711,2,0.000 DKK
1565,2,0.000 DKK
5292,2,0.000 DKK
23183,2,0.000 DKK
28061,2,0.000 DKK
3220,2,0.000 DKK
20069,2,0.000 DKK
14791,2,0.000 DKK
24687,2,0.000 DKK
24395,2,0.000 DKK
15632,2,0.000 DKK
gavepapir3,2,0.000 DKK
23949,2,0.000 DKK
23643,2,0.000 DKK
15112,2,0.000 DKK
18813,2,0.000 DKK
24656,2,0.000 DKK
18329,2,0.000 DKK
25268,2,0.000 DKK
2703,2,0.000 DKK
23207,2,0.000 DKK
3941,2,0.000 DKK
7928,2,0.000 DKK
24397,2,0.000 DKK
6253,2,0.000 DKK
14803,2,0.000 DKK
7957,2,0.000 DKK
17408,2,0.000 DKK
3963,2,0.000 DKK
10728,2,0.000 DKK
23809,2,0.000 DKK
28065,2,0.000 DKK
19473,2,0.000 DKK
24199,2,0.000 DKK
23708,2,0.000 DKK
13162,1,0.000 DKK
24876,2,0.000 DKK
11557,2,0.000 DKK
14199,2,0.000 DKK
19462,2,0.000 DKK
13965,2,0.000 DKK
6747,2,0.000 DKK
3400,2,0.000 DKK
2431,2,0.000 DKK
14805,2,0.000 DKK
3420,2,0.000 DKK
28068,2,0.000 DKK
13987,2,0.000 DKK
24875,2,0.000 DKK
23825,2,0.000 DKK
24657,2,0.000 DKK
25267,2,0.000 DKK
26385,2,0.000 DKK
24399,2,0.000 DKK
5557,2,0.000 DKK
4812,2,0.000 DKK
24736,2,0.000 DKK
11456,2,0.000 DKK
12957,2,0.000 DKK
23239,2,0.000 DKK
stikdaase 2,2,0.000 DKK
19713,2,0.000 DKK
2432,2,0.000 DKK
25265,2,0.000 DKK
15267,2,0.000 DKK
23283,2,0.000 DKK
2434,2,0.000 DKK
25266,2,0.000 DKK
23847,2,0.000 DKK
3419,2,0.000 DKK
24663,2,0.000 DKK
5550,2,0.000 DKK
9909,2,0.000 DKK
3998,2,0.000 DKK
24071,2,0.000 DKK
2812,2,0.000 DKK
13475,2,0.000 DKK
26114,2,0.000 DKK
5619,2,0.000 DKK
2435,2,0.000 DKK
26065,2,0.000 DKK
5621,2,0.000 DKK
15286,2,0.000 DKK
9636,2,0.000 DKK
14813,2,0.000 DKK
18837,2,0.000 DKK
18825,2,0.000 DKK
15281,2,0.000 DKK
24219,2,0.000 DKK
13653,2,0.000 DKK
18815,2,0.000 DKK
28067,2,0.000 DKK
24737,2,0.000 DKK
24004,2,0.000 DKK
28581,2,0.000 DKK
24735,2,0.000 DKK
24217,2,0.000 DKK
8847,2,0.000 DKK
14923,2,0.000 DKK
20135,2,0.000 DKK
9971,2,0.000 DKK
8867,2,0.000 DKK
13666,2,0.000 DKK
16734,2,0.000 DKK
6482,2,0.000 DKK
5661,2,0.000 DKK
15343,2,0.000 DKK
17693,2,0.000 DKK
25263,2,0.000 DKK
24335,2,0.000 DKK
14931,2,0.000 DKK
24734,2,0.000 DKK
5002,2,0.000 DKK
22297,2,0.000 DKK
27926,2,0.000 DKK
4685,2,0.000 DKK
27924,2,0.000 DKK
8871,2,0.000 DKK
20118,2,0.000 DKK
24371,2,0.000 DKK
13670,2,0.000 DKK
9901,2,0.000 DKK
8152,2,0.000 DKK
24370,2,0.000 DKK
3529,2,0.000 DKK
15794,2,0.000 DKK
9978,2,0.000 DKK
18908,2,0.000 DKK
26116,2,0.000 DKK
6227,2,0.000 DKK
6484,2,0.000 DKK
24191,2,0.000 DKK
6707,2,0.000 DKK
24334,2,0.000 DKK
24733,2,0.000 DKK
24374,2,0.000 DKK
4781,2,0.000 DKK
13671,2,0.000 DKK
6614,2,0.000 DKK
18948,1,0.000 DKK
5009,2,0.000 DKK
3535,2,0.000 DKK
13722,2,0.000 DKK
8157,2,0.000 DKK
24877,2,0.000 DKK
4860,2,0.000 DKK
24375,2,0.000 DKK
11488,2,0.000 DKK
10033,2,0.000 DKK
6692,2,0.000 DKK
8977,2,0.000 DKK
13745,2,0.000 DKK
10071,2,0.000 DKK
24411,2,0.000 DKK
3557,2,0.000 DKK
15738,2,0.000 DKK
25270,2,0.000 DKK
24659,2,0.000 DKK
18936,2,0.000 DKK
24518,2,0.000 DKK
23723,2,0.000 DKK
14027,2,0.000 DKK
24413,2,0.000 DKK
13880,2,0.000 DKK
18955,2,0.000 DKK
14828,2,0.000 DKK
23668,2,0.000 DKK
14974,2,0.000 DKK
11490,2,0.000 DKK
24660,2,0.000 DKK
4891,2,0.000 DKK
6628,2,0.000 DKK
8182,2,0.000 DKK
20202,2,0.000 DKK
10081,2,0.000 DKK
20206,2,0.000 DKK
15377,2,0.000 DKK
5822,2,0.000 DKK
24407,2,0.000 DKK
1150,2,0.000 DKK
18970,2,0.000 DKK
24960,2,0.000 DKK
4032,2,0.000 DKK
14094,2,0.000 DKK
6179,2,0.000 DKK
14104,2,0.000 DKK
22762,2,0.000 DKK
20224,2,0.000 DKK
4912,2,0.000 DKK
234,2,0.000 DKK
24490,2,0.000 DKK
24631,2,0.000 DKK
24666,2,0.000 DKK
10161,2,0.000 DKK
24500,2,0.000 DKK
4944,2,0.000 DKK
24499,2,0.000 DKK
26119,2,0.000 DKK
20623,2,0.000 DKK
24457,2,0.000 DKK
14451,2,0.000 DKK
26388,2,0.000 DKK
3601,2,0.000 DKK
3562,2,0.000 DKK
6224,2,0.000 DKK
5021,2,0.000 DKK
24414,2,0.000 DKK
14192,2,0.000 DKK
24882,2,0.000 DKK
14475,2,0.000 DKK
20641,2,0.000 DKK
14115,2,0.000 DKK
3724,2,0.000 DKK
24416,2,0.000 DKK
7388,2,0.000 DKK
24930,2,0.000 DKK
25699,2,0.000 DKK
24883,2,0.000 DKK
14112,2,0.000 DKK
24489,2,0.000 DKK
6005,2,0.000 DKK
6292,2,0.000 DKK
28583,2,0.000 DKK
24797,2,0.000 DKK
15042,2,0.000 DKK
25762,2,0.000 DKK
3792,2,0.000 DKK
4759,2,0.000 DKK
21214,2,0.000 DKK
25758,2,0.000 DKK
19014,2,0.000 DKK
14215,2,0.000 DKK
14244,2,0.000 DKK
3972,2,0.000 DKK
7409,2,0.000 DKK
24794,2,0.000 DKK
26387,2,0.000 DKK
24667,2,0.000 DKK
7450,2,0.000 DKK
24668,2,0.000 DKK
21399,2,0.000 DKK
23884,2,0.000 DKK
5670,2,0.000 DKK
24881,2,0.000 DKK
9290,2,0.000 DKK
5260,2,0.000 DKK
5945,2,0.000 DKK
3937,2,0.000 DKK
23478,2,0.000 DKK
4683,2,0.000 DKK
28070,2,0.000 DKK
10207,2,0.000 DKK
4744,2,0.000 DKK
24167,2,0.000 DKK
15316,2,0.000 DKK
15423,2,0.000 DKK
24169,2,0.000 DKK
6514,2,0.000 DKK
26125,2,0.000 DKK
9151,2,0.000 DKK
24232,2,0.000 DKK
26123,2,0.000 DKK
14289,2,0.000 DKK
21484,2,0.000 DKK
14401,2,0.000 DKK
10013,2,0.000 DKK
26124,2,0.000 DKK
24231,2,0.000 DKK
24604,2,0.000 DKK
2869,2,0.000 DKK
16137,2,0.000 DKK
14141,2,0.000 DKK
15435,2,0.000 DKK
24430,2,0.000 DKK
19182,2,0.000 DKK
10273,2,0.000 DKK
14925,2,0.000 DKK
10225,2,0.000 DKK
24879,2,0.000 DKK
24788,2,0.000 DKK
14604,2,0.000 DKK
24428,2,0.000 DKK
11885,2,0.000 DKK
20663,2,0.000 DKK
19117,2,0.000 DKK
7500,2,0.000 DKK
19237,2,0.000 DKK
14859,2,0.000 DKK
6518,2,0.000 DKK
19263,2,0.000 DKK
3385,2,0.000 DKK
16140,2,0.000 DKK
24519,2,0.000 DKK
14474,2,0.000 DKK
11039,2,0.000 DKK
7536,2,0.000 DKK
11326,2,0.000 DKK
5015,2,0.000 DKK
9889,2,0.000 DKK
7476,2,0.000 DKK
23948,2,0.000 DKK
28069,2,0.000 DKK
24516,2,0.000 DKK
10025,2,0.000 DKK
23536,2,0.000 DKK
11335,2,0.000 DKK
12253,2,0.000 DKK
15579,2,0.000 DKK
16200,2,0.000 DKK
9845,2,0.000 DKK
19466,2,0.000 DKK
5989,2,0.000 DKK
3395,2,0.000 DKK
24884,2,0.000 DKK
24885,2,0.000 DKK
16199,2,0.000 DKK
19734,2,0.000 DKK
4978,2,0.000 DKK
